care_home_name,postcode,rating,provider_name,is_good_or_outstanding
Avocet House Care Home,PE21 7NT,Good,Tanglewood Project Company No. 1 Limited,1
Seacroft Court,PE25 3BE,Good,Prime Life Limited,1
Holbeach and East Elloe Hospital Trust,PE12 8AQ,Requires improvement,Holbeach & East Elloe Hospital Trust,0
Miramar Nursing Home,LN12 2LT,Good,Super Care Limited,1
Eagle House Residential Care Home,LN6 9DL,Outstanding,Hatzfeld Care (Lincoln) Limited,1
Stewton House Nursing Home,LN11 8RZ,Requires improvement,Pretty 1098 Ltd,0
The Old Hall Residential Care Home,PE23 5NZ,Good,Kesh-Care Limited,1
Grand View Care Home,PE9 2EX,Good,Alysia Caring (Stamford) Ltd,1
Woodlands Court Care Home,PE20 1DS,Good,Greenhold Care Homes Ltd,1
The Old Hall,NG34 0QA,Outstanding,Willow Homes-Lincs Limited,1
Waverley,LN12 1EJ,Requires improvement,Mrs Sara Gibson,0
Harrowby Lodge Nursing Home,NG31 9HX,Good,Harrowby Lodge Nursing Home Limited,1
Brambles,LN3 5UD,Good,Home from Home Care Limited,1
The Gables,LN13 9LF,Requires improvement,Mrs A D Pennington,0
Westerley Residential Care Home for the Elderly - Woodhall Spa,LN10 6SQ,Good,The Leaders Of Worship And Preachers Homes,1
Abbeygate Rest Home,PE6 0EG,Good,Abbeygate Rest Homes Limited,1
Abbeygate Retirement Home,PE12 6QB,Good,Abbeygate Rest Homes Limited,1
Halmer Court,PE11 2EL,Requires improvement,Glenholme Senior Living (Spalding) Limited,0
Greenacres Care Home,LN7 6QY,Good,Greenacres Care Limited,1
Melody Lodge,PE23 4BJ,Good,Skitini Care Homes Limited,1
Alderson House,LN12 1PH,Good,Alderson Limited,1
Victoria House Residential Home,LN13 9JB,Requires improvement,Mrs Reepaben Patel,0
Fairview Farm,NG31 8RJ,Good,Grantham and District Mencap Limited,1
Chestnuts Retirement Home,NG34 9DE,Good,The Chestnuts Retirement Home LLP,1
Southernwood House,PE11 2PN,Requires improvement,Wellbeing Residential Ltd,0
Little Brocklesby House,DN37 8JL,Good,Little Brocklesby House Limited,1
Meadows Park Care Home,LN11 0FS,Good,Tanglewood Project Company No. 2 Limited,1
Nene Lodge Retirement Home,PE12 9SG,Requires improvement,Nathu Limited,0
Redcote House Residential Care Home,LN6 7HQ,Inadequate,Bhandal Care Group (1ST Care UK) Ltd,0
Suillean House,NG34 9QP,Good,Kisimul Group Limited,1
Redcote Residential Home,DN21 5HR,Good,Gainsborough Care Ltd,1
Stones Place,LN6 0PA,Good,Methodist Homes,1
Greenacres Care Home,NG34 9RP,Requires improvement,Greenacres Care Home Limited,0
The Old Hall,LN3 4HD,Outstanding,Home from Home Care Limited,1
The Hawthorns,LN3 5UD,Outstanding,Home from Home Care Limited,1
Cherry Tree Lodge,NG34 9DA,Outstanding,Home from Home Care Limited,1
Kirk House,LN4 3PT,Requires improvement,Home from Home Care Limited,0
Orchard House Care Home,LN12 1EL,Good,Orchard House Nursing Home Limited,1
The Georgians (Boston) Limited - 50 Wide Bargate Boston,PE21 6RY,Good,Georgians (Boston) Limited(The),1
Kingsway Clayton House Residential Care Home,DN21 1LW,Requires improvement,Kingsway (Clayton House),0
Mayfield Residential Home,PE12 7AG,Requires improvement,Mayfield Residential Care Ltd,0
Ashtree House,LN13 0NG,Good,Tinfloyd Healthcare Limited,1
Courtlands Lodge,LN6 9RX,Good,Life Care (UK) Limited,1
Brun Lea Care,PE11 3XY,Good,Brun Lea Care Ltd,1
SENSE - 54 Monks Dyke Road,LN11 9AN,Good,Sense,1
SENSE - 56 Monks Dyke Road,LN11 9AN,Good,Sense,1
SENSE - 21a and 21b Johnson Avenue,PE11 2QE,Good,Sense,1
SENSE - 18 Water Gate,PE11 4PY,Good,Sense,1
SENSE - 25 Horsegate,PE6 8EW,Good,Sense,1
SENSE - 32a Broadgate Lane,PE6 8NW,Outstanding,Sense,1
Beckfield House Residential Home,LN4 1QJ,Requires improvement,Allington Healthcare Limited,0
Foxby Hill Care Home,DN21 1PN,Good,Foxby Hill Care Home Limited,1
Richard House Care Home,NG31 9LH,Requires improvement,Tanglewood Project Company No. 3 Limited,0
Waterloo House,LN8 3EX,Requires improvement,Platinum Care (Lincoln) Ltd,0
Ashwood Nursing Home - Spalding,PE11 3AU,Good,Country Court Care Homes Limited,1
Adrian O'Brien Rachel Amiee O'Brien - 122 Scorer Street,LN5 7SX,Requires improvement,Adrian O'Brien,0
OSJCT Beckside,LN6 9QX,Good,The Orders Of St. John Care Trust,1
OSJCT Patchett Lodge,PE12 7LJ,Good,The Orders Of St. John Care Trust,1
OSJCT Boultham Park House,LN6 7PH,Good,The Orders Of St. John Care Trust,1
OSJCT Digby Court,PE10 9AZ,Good,The Orders Of St. John Care Trust,1
OSJCT Eresby Hall,PE23 5HT,Good,The Orders Of St. John Care Trust,1
OSJCT Ermine House,LN2 2EX,Requires improvement,The Orders Of St. John Care Trust,0
OSJCT Foxby Court,DN21 1QR,Requires improvement,The Orders Of St. John Care Trust,0
OSJCT Gregory House,NG31 8BN,Outstanding,The Orders Of St. John Care Trust,1
OSJCT Hartsholme House,LN6 0ED,Outstanding,The Orders Of St. John Care Trust,1
OSJCT The Poplars,LN8 3DS,Good,The Orders Of St. John Care Trust,1
OSJCT Skirbeck Court,PE21 9NU,Good,The Orders Of St. John Care Trust,1
OSJCT Southfield House,PE11 1PS,Good,The Orders Of St. John Care Trust,1
OSJCT Whitefriars,PE9 1UN,Good,The Orders Of St. John Care Trust,1
St Andrew's Nursing and Care Home,NG34 9PL,Requires improvement,Jasmine Healthcare Limited,0
West Dean,LN1 1HS,Good,Achieve Together Limited,1
Nutten Stoven Residential Home,PE12 8AA,Requires improvement,Nutten Stoven Residential Home,0
Apple Trees Care & Reablement Centre,NG31 7GQ,Good,The Orders Of St. John Care Trust,1
Summerfield Rest Home,LN12 2NL,Good,Fins Care Limited,1
