Location ID,Location ODS Code,Location Name,Care Home?,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Location Local Authority,Location Region,Location NHS Region,Location ONSPD CCG Code,Location ONSPD CCG,Location Commissioning CCG Code,Location Commissioning CCG Name,Service / Population Group,Domain,Latest Rating,Publication Date,Report Type,Inherited Rating (Y/N),URL,Provider ID,Provider Name,Brand ID,Brand Name
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Overall,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Effective,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Well-led,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Safe,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Caring,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Responsive,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10041249501,VNH5M,MSP Case Management Ltd,N,Social Care Org,Community based adult social care services,Hardings Farm,,Lincoln,LN3 5AG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Caring,Good,05/29/2026,Location,N,http://www.cqc.org.uk/location/1-10041249501,1-9438821988,MSP Case Management Ltd,-,-
1-10048285797,,The Keep Clinic,N,Independent Healthcare Org,Independent consulting doctors,The Old Barracks,Sandon Road,Grantham,NG31 9AS,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Good,11/26/2021,Location,N,http://www.cqc.org.uk/location/1-10048285797,1-8692595311,MSK Doctors & Associates Limited,-,-
1-10048285797,,The Keep Clinic,N,Independent Healthcare Org,Independent consulting doctors,The Old Barracks,Sandon Road,Grantham,NG31 9AS,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Good,11/26/2021,Location,N,http://www.cqc.org.uk/location/1-10048285797,1-8692595311,MSK Doctors & Associates Limited,-,-
1-10048285797,,The Keep Clinic,N,Independent Healthcare Org,Independent consulting doctors,The Old Barracks,Sandon Road,Grantham,NG31 9AS,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Caring,Good,11/26/2021,Location,N,http://www.cqc.org.uk/location/1-10048285797,1-8692595311,MSK Doctors & Associates Limited,-,-
1-10048285797,,The Keep Clinic,N,Independent Healthcare Org,Independent consulting doctors,The Old Barracks,Sandon Road,Grantham,NG31 9AS,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,11/26/2021,Location,N,http://www.cqc.org.uk/location/1-10048285797,1-8692595311,MSK Doctors & Associates Limited,-,-
1-10048285797,,The Keep Clinic,N,Independent Healthcare Org,Independent consulting doctors,The Old Barracks,Sandon Road,Grantham,NG31 9AS,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Good,11/26/2021,Location,N,http://www.cqc.org.uk/location/1-10048285797,1-8692595311,MSK Doctors & Associates Limited,-,-
1-10048285797,,The Keep Clinic,N,Independent Healthcare Org,Independent consulting doctors,The Old Barracks,Sandon Road,Grantham,NG31 9AS,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Good,11/26/2021,Location,N,http://www.cqc.org.uk/location/1-10048285797,1-8692595311,MSK Doctors & Associates Limited,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,People whose circumstances may make them vulnerable,Overall,Good,07/13/2018,Location,Y,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,People with long term conditions,Overall,Good,07/13/2018,Location,Y,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,"Families, children and young people",Overall,Good,07/13/2018,Location,Y,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Working age people (including those recently retired and students),Overall,Good,07/13/2018,Location,Y,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,People experiencing poor mental health (including people with dementia),Overall,Good,07/13/2018,Location,Y,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Older people,Overall,Good,07/13/2018,Location,Y,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Overall,Safe,Good,07/25/2022,Location,N,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Overall,Effective,Good,07/25/2022,Location,N,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Overall,Caring,Good,07/25/2022,Location,N,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Overall,Responsive,Good,07/25/2022,Location,N,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Overall,Well-led,Good,07/25/2022,Location,N,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10085774795,C83083,The New Coningsby Surgery,N,Primary Medical Services,GP Practices,20 Silver Street,Coningsby,Lincoln,LN4 4SG,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,71E,NHS Lincolnshire Icb - 71E,Overall,Overall,Good,07/25/2022,Location,N,http://www.cqc.org.uk/location/1-10085774795,1-2707733877,The Welby Practice,-,-
1-10160329535,VNHHJ,Ansar Projects,N,Social Care Org,Community based adult social care services,The West House,"Alpha Court, Swingbridge Road",Grantham,NG31 7XT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Good,04/01/2023,Location,N,http://www.cqc.org.uk/location/1-10160329535,1-9399146740,Ansar Projects,-,-
1-10160329535,VNHHJ,Ansar Projects,N,Social Care Org,Community based adult social care services,The West House,"Alpha Court, Swingbridge Road",Grantham,NG31 7XT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Good,04/01/2023,Location,N,http://www.cqc.org.uk/location/1-10160329535,1-9399146740,Ansar Projects,-,-
1-10160329535,VNHHJ,Ansar Projects,N,Social Care Org,Community based adult social care services,The West House,"Alpha Court, Swingbridge Road",Grantham,NG31 7XT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Caring,Good,04/01/2023,Location,N,http://www.cqc.org.uk/location/1-10160329535,1-9399146740,Ansar Projects,-,-
1-10160329535,VNHHJ,Ansar Projects,N,Social Care Org,Community based adult social care services,The West House,"Alpha Court, Swingbridge Road",Grantham,NG31 7XT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,04/01/2023,Location,N,http://www.cqc.org.uk/location/1-10160329535,1-9399146740,Ansar Projects,-,-
1-10160329535,VNHHJ,Ansar Projects,N,Social Care Org,Community based adult social care services,The West House,"Alpha Court, Swingbridge Road",Grantham,NG31 7XT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Good,04/01/2023,Location,N,http://www.cqc.org.uk/location/1-10160329535,1-9399146740,Ansar Projects,-,-
1-10160329535,VNHHJ,Ansar Projects,N,Social Care Org,Community based adult social care services,The West House,"Alpha Court, Swingbridge Road",Grantham,NG31 7XT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Good,04/01/2023,Location,N,http://www.cqc.org.uk/location/1-10160329535,1-9399146740,Ansar Projects,-,-
1-10178265067,VNHJ0,Unique Homecare Lincoln Ltd,N,Social Care Org,Community based adult social care services,George Boole House,"Unit D1 - D2, The Point, Weaver Road",Lincoln,LN6 3QN,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Good,07/27/2022,Location,N,http://www.cqc.org.uk/location/1-10178265067,1-9604926996,Unique Homecare Lincoln Ltd,-,-
1-10178265067,VNHJ0,Unique Homecare Lincoln Ltd,N,Social Care Org,Community based adult social care services,George Boole House,"Unit D1 - D2, The Point, Weaver Road",Lincoln,LN6 3QN,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Good,07/27/2022,Location,N,http://www.cqc.org.uk/location/1-10178265067,1-9604926996,Unique Homecare Lincoln Ltd,-,-
1-10178265067,VNHJ0,Unique Homecare Lincoln Ltd,N,Social Care Org,Community based adult social care services,George Boole House,"Unit D1 - D2, The Point, Weaver Road",Lincoln,LN6 3QN,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Caring,Good,07/27/2022,Location,N,http://www.cqc.org.uk/location/1-10178265067,1-9604926996,Unique Homecare Lincoln Ltd,-,-
1-10178265067,VNHJ0,Unique Homecare Lincoln Ltd,N,Social Care Org,Community based adult social care services,George Boole House,"Unit D1 - D2, The Point, Weaver Road",Lincoln,LN6 3QN,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,07/27/2022,Location,N,http://www.cqc.org.uk/location/1-10178265067,1-9604926996,Unique Homecare Lincoln Ltd,-,-
1-10178265067,VNHJ0,Unique Homecare Lincoln Ltd,N,Social Care Org,Community based adult social care services,George Boole House,"Unit D1 - D2, The Point, Weaver Road",Lincoln,LN6 3QN,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Good,07/27/2022,Location,N,http://www.cqc.org.uk/location/1-10178265067,1-9604926996,Unique Homecare Lincoln Ltd,-,-
1-10178265067,VNHJ0,Unique Homecare Lincoln Ltd,N,Social Care Org,Community based adult social care services,George Boole House,"Unit D1 - D2, The Point, Weaver Road",Lincoln,LN6 3QN,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Good,07/27/2022,Location,N,http://www.cqc.org.uk/location/1-10178265067,1-9604926996,Unique Homecare Lincoln Ltd,-,-
1-10204516858,VNHWL,The Old Post Office,N,Social Care Org,Community based adult social care services,43 Main Street,Edenham,Bourne,PE10 0LL,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Requires improvement,06/22/2023,Location,N,http://www.cqc.org.uk/location/1-10204516858,1-9811959331,Mrs Margaret Patricia Avis,-,-
1-10204516858,VNHWL,The Old Post Office,N,Social Care Org,Community based adult social care services,43 Main Street,Edenham,Bourne,PE10 0LL,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Requires improvement,06/22/2023,Location,N,http://www.cqc.org.uk/location/1-10204516858,1-9811959331,Mrs Margaret Patricia Avis,-,-
1-10204516858,VNHWL,The Old Post Office,N,Social Care Org,Community based adult social care services,43 Main Street,Edenham,Bourne,PE10 0LL,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Requires improvement,06/22/2023,Location,N,http://www.cqc.org.uk/location/1-10204516858,1-9811959331,Mrs Margaret Patricia Avis,-,-
1-10204516858,VNHWL,The Old Post Office,N,Social Care Org,Community based adult social care services,43 Main Street,Edenham,Bourne,PE10 0LL,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Requires improvement,06/22/2023,Location,N,http://www.cqc.org.uk/location/1-10204516858,1-9811959331,Mrs Margaret Patricia Avis,-,-
1-10204516858,VNHWL,The Old Post Office,N,Social Care Org,Community based adult social care services,43 Main Street,Edenham,Bourne,PE10 0LL,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Caring,Good,06/22/2023,Location,N,http://www.cqc.org.uk/location/1-10204516858,1-9811959331,Mrs Margaret Patricia Avis,-,-
1-10204516858,VNHWL,The Old Post Office,N,Social Care Org,Community based adult social care services,43 Main Street,Edenham,Bourne,PE10 0LL,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,06/22/2023,Location,N,http://www.cqc.org.uk/location/1-10204516858,1-9811959331,Mrs Margaret Patricia Avis,-,-
1-10216615141,VNJ4X,Avocet House Care Home,Y,Social Care Org,Residential social care,Parkes Lane,,Boston,PE21 7NT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Good,10/22/2022,Location,N,http://www.cqc.org.uk/location/1-10216615141,1-10079980892,Tanglewood Project Company No. 1 Limited,BD610,BRAND Tanglewood Care Homes
1-10216615141,VNJ4X,Avocet House Care Home,Y,Social Care Org,Residential social care,Parkes Lane,,Boston,PE21 7NT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Good,10/22/2022,Location,N,http://www.cqc.org.uk/location/1-10216615141,1-10079980892,Tanglewood Project Company No. 1 Limited,BD610,BRAND Tanglewood Care Homes
1-10216615141,VNJ4X,Avocet House Care Home,Y,Social Care Org,Residential social care,Parkes Lane,,Boston,PE21 7NT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Caring,Good,10/22/2022,Location,N,http://www.cqc.org.uk/location/1-10216615141,1-10079980892,Tanglewood Project Company No. 1 Limited,BD610,BRAND Tanglewood Care Homes
1-10216615141,VNJ4X,Avocet House Care Home,Y,Social Care Org,Residential social care,Parkes Lane,,Boston,PE21 7NT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,10/22/2022,Location,N,http://www.cqc.org.uk/location/1-10216615141,1-10079980892,Tanglewood Project Company No. 1 Limited,BD610,BRAND Tanglewood Care Homes
1-10216615141,VNJ4X,Avocet House Care Home,Y,Social Care Org,Residential social care,Parkes Lane,,Boston,PE21 7NT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Good,10/22/2022,Location,N,http://www.cqc.org.uk/location/1-10216615141,1-10079980892,Tanglewood Project Company No. 1 Limited,BD610,BRAND Tanglewood Care Homes
1-10216615141,VNJ4X,Avocet House Care Home,Y,Social Care Org,Residential social care,Parkes Lane,,Boston,PE21 7NT,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Good,10/22/2022,Location,N,http://www.cqc.org.uk/location/1-10216615141,1-10079980892,Tanglewood Project Company No. 1 Limited,BD610,BRAND Tanglewood Care Homes
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Overall,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Effective,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Well-led,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Safe,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Caring,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Homecare,Responsive,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Well-led,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Effective,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Safe,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Overall,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
1-10272290623,VNHL9,Fosse Healthcare - Lincoln,N,Social Care Org,Community based adult social care services,"First Floor Building 3, Kingsley Office Park",,Lincoln,LN6 3TA,Lincolnshire,East Midlands,Midlands,E38000238,NHS Lincolnshire CCG,,,Overall,Responsive,Good,01/17/2025,Location,N,http://www.cqc.org.uk/location/1-10272290623,1-101669326,Fosse Healthcare Limited,-,-
